RUN,GEN,SMILES,VINA
6,16,CO/C(O)=[N+](\CC1Cc2ccccc2C1)C([O-])=C1CCN(C2=NC(C)=C3CC4=C(C=C3[N]2)CCC4)CC1,-9.8
6,21,CC1=C2CC3=C(C=C2NC(N2CCC(C(=O)[N]CC4Cc5ccccc5C4)CC2)=N1)CCC3,-9.8
6,25,CC1=C2CC3=C(C=C2[NH2+]C(N2CCC(/C(N)=[NH+]\CC4Cc5ccccc5C4)CC2)=N1)CCC3,-9.8
6,25,CC1=C2CC3=C(C=C2[NH+]=C(N2CCC(/C(N)=N\CC4Cc5ccccc5C4)CC2)N1)CCC3,-9.8
6,29,CC1=C2CC3=C(C=C2NC(N2CCC(/C([O-])=N\CC4Cc5ccccc5C4)CC2)=N1)CCC3,-9.8
7,16,C[C@@H]1N=C(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)Nc2cc3c(cc21)CCC3,-9.8
7,23,C[C@@H]1NC(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=[NH+]c2cc3c(cc21)CCC3,-9.8
7,23,C[C@@H]1[NH+]=C(N2CCC(/C(O)=[N+](\C)Cc3ccc4c5c(cccc35)C=C4)CC2)Nc2cc3c(cc21)CCC3,-9.8
7,25,C[C@H]1[NH+]=C(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)Nc2cc3c(cc21)CCC3,-9.8
1,19,CC1=CC2=C(C)[NH+]=C(N3CCC(/C(O)=N\Cc4ccc5ccccc5c4)CC3)[N][C@@H]2C=C1,-9.8
1,19,CC1=[N+]=C(N2CCC(=C(O)[NH2+]Cc3ccc4ccccc4c3)CC2)[N][C@@H]2CC=C(F)C=C12,-9.8
1,19,CC1=CC2=C(C)[NH+]=C(N3CCC(=C([O-])[N]Cc4ccc5ccccc5c4)CC3)N[C@H]2C=C1,-9.8
1,19,CC1=C2C=C(F)C=C[C@H]2[N]C(N2CCC(=C([O-])[N]Cc3ccc4ccccc4c3)CC2)=[NH+]1,-9.8
1,24,CC1=CC[C@@H]2NC(N3CCC(/C(O)=N\Cc4ccc5ccccc5c4)CC3)=[N+]=C(C)C2=C1,-9.8
1,30,C=C1[NH+]=C(N2CCC(/C(N)=N\Cc3ccc4ccccc4c3)CC2)[N][C@@H]2CC=C(F)C=C12,-9.8
1,30,CC1=CC2=C(C)N=C(N3CCC(/C(O)=N\Cc4ccc5ccccc5c4)CC3)N[C@@H]2C=C1,-9.8
1,30,CC1=C2C=C(F)C=C[C@H]2[N]C(N2CCC(/C(O)=N\Cc3ccc4ccccc4c3)CC2)=[NH+]1,-9.8
1,30,CC1=CC2=C(C)[NH+]=C(N3CCC(=C(O)NCc4ccc5ccccc5c4)CC3)N[C@H]2C=C1,-9.8
5,26,C[C@H]1C(=O)[N]CC[N@@+]12C(c1cccc(-c3ccc4c(c3)OC(F)(F)O4)c1)=[NH+]c1cc3c(cc1=C2O)CCC=3,-9.8
5,26,C[C@H]1C(=O)[N]CC[N@@+]12C(c1cccc(-c3ccc4c(c3)OC(F)(F)O4)c1)=Nc1cc3c(cc1=C2O)CCC=3,-9.8
5,26,[NH3+]/C([C@H]1C=C(Cc2ccc3c(c2)OC(F)(F)O3)NO1)=[N+]1/CCCN(c2[nH+]c3ccccc3o2)CC1,-9.8
3,21,Cc1cc2cc(C(=O)/N=C(/O)[C@@H]3CCCN3C3=[NH+][C@H](C)[C@H]4Cc5ccccc5[C@H](F)[C@H]4N3)ccc2o1,-9.8
3,21,Cc1cc2cc(C(=O)NC(=O)[C@H]3CCCN3C3=[NH+][C@H](C)c4cc5ccccc5c(F)c4N3)ccc2o1,-9.8
3,21,Cc1cc2cc(C(=O)NC(=O)[C@H]3CCCN3C3=N[C@@H](C)c4cc5ccccc5c(F)c4[NH2+]3)ccc2o1,-9.8
3,23,Cc1cc2cc(C(=O)NC(=O)[C@@H]3CCCN3C3=[NH+]c4c(cc5ccccc5c4F)[C@@H](C)N3)ccc2o1,-9.8
3,25,Cc1cc2cc(C(=O)NC(=O)[C@H]3CCCN3C3=N[C@H](C)[C@@H]4C[C@@]5(F)C=CC=C[C@@H]5C[C@H]4N3)ccc2o1,-9.8
3,29,Cc1cc2cc(C(=O)NC(=O)[C@H]3CCCN3C3=N[C@H](C)[C@@H]4Cc5ccccc5[C@@H](F)[C@@H]4N3)ccc2o1,-9.8
0,19,C[C@@]1(C2CCN([C@]3(O)O[C@H]3c3ccc4c(c3)OCO4)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-9.7
0,19,Cc1cccc(C(=O)[N]c2nc3c(s2)C(=N)C[C@H](C(=O)[N]C[C@H]2CC[C@@H]4[C@@H](C2)c2ccccc2N4C)C3)c1,-9.7
2,19,CC1=CC=C[C@H](C/N=C(\N=[N+]=[N-])[C@H]2CC23CC[NH+](Cc2ccc4c(c2)C=C2CC=CC=C24)CC3)[N]1,-9.7
2,19,C[C@]1(C2CC[N+](=C(O)c3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-9.7
2,19,Cc1cc(-c2c[nH+]c[nH+]c2)cc2c1O[C@H](CN[C@@]1(O)O[C@@H]1c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,19,C[C@@]1(C2CC[NH+](Cc3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-9.7
2,24,Cc1cc(-c2cnc[nH+]c2)cc2c1O[C@H](C[N]/C([O-])=C/c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,24,C[C@@]1(C2CC[N+](=C(O)c3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=O,-9.7
2,24,Cc1cc(-c2cncnc2)cc2c1O[C@H](C[NH2+]/C(O)=C/c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,27,Cc1cc(-c2cnc[nH+]c2)cc2c1O[C@H](CN[C@]1(O)O[C@H]1c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,30,Cc1cc(-c2cnc[nH+]c2)cc2c1O[C@H](C[NH2+]/C(N)=C/c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,30,Cc1cc(-c2c[nH+]c[nH+]c2)cc2c1O[C@H](CNC(=N)Cc1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
2,30,Cc1cc(-c2c[nH+]c[nH+]c2)cc2c1O[C@H](C[NH2+]/C(N)=C/c1ccc3c(c1)C=C1CC=CC=C13)C2,-9.7
9,30,Cc1cccnc1[N]C(=O)[C@@H]1CCC[N@@H+](C([O-])=C2CC[NH+](C(=O)c3ccc4ccccc4c3)CC2)C1,-9.7
9,30,Cc1cc2cc(C(=O)N3CCC(=C([O-])[N@H+]4CCC[C@H](C(=O)[N]c5[nH+]cccc5C)C4)CC3)ccc2o1,-9.7
9,30,Cc1cccnc1[N]C(=O)[C@@H]1CCC[N@@H+](C([O-])=C2CCN(C(=O)c3ccc4ccccc4c3)CC2)C1,-9.7
9,30,C[C@@H](C1=N[N]C(=O)c2ccccc21)C1=[NH+]c2cc(F)c(F)cc2C(=O)[N@+]12C=CC[N@@H+](C1Cc3ccccc3C1)CC2,-9.7
9,30,C[C@H](C1=N[N]C(=O)c2ccccc21)C1=[NH+]c2cc(F)c(F)cc2C(=O)[N@+]12C=CC[N@H+](C1Cc3ccccc3C1)CC2,-9.7
9,30,Cc1ccc[nH+]c1[N]C(=O)[C@@H]1CCC[N@H+](C(O)=C2CCN(C(=O)c3ccc4ccccc4c3)CC2)C1,-9.7
9,30,Cc1cccnc1[N]C(=O)[C@@H]1CCC[N@H+](C([O-])=C2CC[N+](=C(O)c3ccc4ccccc4c3)CC2)C1,-9.7
4,19,CC1=C[C@H]2[N]C(N3CCC(C(=O)N(C)Cc4ccc5c6c(cccc46)C=C5)CC3)=NC(C)=C2C=C1,-9.7
4,19,Cc1[nH+]c(N2CCC([C@]3(C)NC(N=[N+]=[N-])=[N+](C4Cc5ccccc5C4)C3=O)CC2)nc2ccccc12,-9.7
4,19,Cc1nc(N2CCC(=C(O)N(C)Cc3ccc4c5c(cccc35)C=C4)CC2)nc2ccc(C(C)C)cc12,-9.7
