Run,Iteration,SMILES,Deep Frag Score,VINA
2,5,COc1cc(=O)n2c(c1C(=O)N1C(C(=O)O)Cc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.551584,-10.91
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)C(C)C2,0.895924,-10.91
1,7,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1C(F)CC(N1CC=C(c3cccc(OC)c3O)C(O)(O)C1)C2,0.886884,-10.9
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2C,0.866172,-10.9
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)c(O)c(F)c3C(F)(F)F)c1)CC2)N(C)C(=O)Cc1ccc(F)c(F)c1,0.878113,-10.9
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)C(C)CN(C(C)c1cccc3ccccc13)CC2,0.610938,-10.9
1,1,Cn1nc(C(=O)N2CCc3ccccc3C2O)c2c1CCC(N1CC=C(c3ccccc3)CC1)C2,0.726945,-10.89
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)cc(F)c3C(F)(F)F)c1)C(O)C2)N(C)C(=O)Cc1ccc(F)c(F)c1,0.777109,-10.89
8,5,O=C(c1nc(=O)[nH]c2ccccc12)N1CCc2c([nH]c3c(O)cccc23)C1C1(O)CCC(F)C(F)(F)C1,0.676029,-10.89
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)C(CS)CN(C(C)c1cc(OC)c(O)c3ccccc13)CC2,0.555059,-10.89
2,5,COc1c(C(=O)N2CCc3c(F)cc(F)cc3C2C)c2n(c(=O)c1CO)CCN(C(C)c1cccc3ccccc13)CC2,0.613632,-10.89
1,4,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CC=C(c3cccc(O)c3O)C(C)C1)C2,0.690304,-10.88
8,9,CCOC1(C2c3[nH]c4ccccc4c3C(C)(O)CN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)(F)C(F)(F)C1,0.938038,-10.88
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1ccc(O)c3ccccc13)C(C=O)C2,0.582108,-10.88
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)c(C)c3C1C)CCN(C(C)c1ccc(O)c3ccccc13)CC2,0.754956,-10.88
