Run,Iteration,SMILES,Deep Frag Score,VINA
5,6,COCC(CN)(OC(=O)C=Cc1c(C)nn(Cc2ccc(C)cc2)c1C)c1nnc(-c2ccc([N+](=O)[O-])c(OC)c2)o1,0.584485,-9.194
5,4,COc1cc(-c2nnc(C(C)(C=O)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.562468,-9.194
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(OC=O)c(O)cc4C3)c2)nc1,0.563176,-9.193
8,9,Cc1c(N2CCN(C(C)C(=O)N3N=C(c4cc(O)c5ccccc5c4)CC3c3cc(F)c(F)c(F)c3F)CC2)cc(O)c(O)c1O,0.969537,-9.188
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OC(C=O)c3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1,0.599568,-9.185
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)nc1ON,0.557694,-9.182
6,4,Cc1ccc(N(C=O)C(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)c(O)c4C3)c2)nc1,0.584976,-9.179
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4c(cc(O)c(O)c4OO)C3)c2)nc1,0.556355,-9.178
6,4,C=COc1c(O)cc2c(c1O)CN(S(=O)(=O)c1cccc(C(=O)Nc3ccc(C)cn3)c1)CC2,0.576816,-9.176
6,2,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4c(ccc(O)c4F)C3)c2)nc1,0.568483,-9.172
5,3,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.973862,-9.171
5,1,Cc1ccc(C(F)n2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1,0.703826,-9.168
5,4,COc1cc(-c2nnc(C(C)OC(=O)C=Cc3c(C)nn(Cc4ccc(C)c(N)c4)c3C)o2)ccc1[N+](=O)[O-],0.593634,-9.162
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4cc(=O)oc5c(N)cc6ccccc6c45)sc32)cc1,0.572697,-9.159
5,2,CC(=O)C(OC(=O)C=Cc1c(C)nn(Cc2ccc(C)cc2)c1C)c1nnc(-c2ccc([N+](=O)[O-])c(O)c2)o1,0.620634,-9.158
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4cc(=O)oc5ccc6ccc(N)cc6c45)sc32)cc1,0.761636,-9.157
10,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4cc5c(cc4OO)OCO5)sc32)cc1,0.56726,-9.155
5,3,COc1cc(-c2nnc(COC(=O)C=Cc3c(C)nn(Cc4ccc(C)c(F)c4)c3C)o2)ccc1[N+](=O)[O-],0.846328,-9.155
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)nc1C,0.791506,-9.15
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4c(C)c(=O)oc5ccc6ccccc6c45)sc32)cc1,0.823609,-9.15
2,2,COc1ccc2ccc3oc(=O)cc(COC(=O)c4cc5c(C)nn(Cc6ccc(C)cc6)c5s4)c3c2c1O,0.60793,-9.148
5,2,Cc1nn(Cc2ccc(CO)cc2)c(C)c1C=CC(=O)OCc1nnc(-c2ccc([N+](=O)[O-])c(O)c2)o1,0.980223,-9.146
4,2,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4ccccc4O3)c2)c(=O)n(-c2cc(O)cc(F)c2)n1C,0.78637,-9.142
6,4,Cc1ccc(NC(=O)c2cc(F)cc(S(=O)(=O)N3CCc4cc(O)c(O)c(O)c4C3)c2)nc1,0.670702,-9.138
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1O,0.942061,-9.137
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4cc(=O)oc5ccc6c(F)cccc6c45)sc32)cc1,0.657423,-9.137
10,3,Cc1cc(O)c(Cn2nc(C)c3cc(C(=O)OCC(=O)NCc4ccc5c(c4)OC(C=O)O5)sc32)cc1O,0.571069,-9.136
7,2,Cc1nn(-c2ccc(F)cc2O)c(C)c1CC(=O)NNC(=O)c1oc2c(OO)cccc2c1C,0.565965,-9.136
