Run,Iteration,SMILES,Deep Frag Score,VINA
4,1,Cc1cc2ccccc2cc1C1=NN(C(=O)CN2CCN(c3ccccc3C)CC2)C(c2ccccc2)C1,0.60237,-10.45
4,3,Cc1ccc(O)cc1N1CCN(C(CO)C(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2)CC1,0.616954,-10.45
9,6,COc1cccc2c(Cn3nc(C)c(C4(O)NC(=O)c5ccc(F)c(F)c5N4)c3C)cc(F)c(F)c12,0.627255,-10.44
9,6,Cc1nn(Cc2cc(F)c(F)c3c(OO)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.552728,-10.43
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2c(C)cccc12,0.684636,-10.43
9,5,Cc1nn(Cc2cc(F)c(F)c3cccc(CO)c23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.564293,-10.42
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2cc(O)c(F)cc2N1,0.705336,-10.42
9,6,Cc1nn(Cc2cc(F)c(F)c3cc(O)ccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.940334,-10.41
4,10,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)c(O)c(O)cc4c3)C(C)(F)C2c2cccc(F)c2F)CC1,0.765715,-10.41
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1c(O)c(F)c(F)c2ccccc12,0.742904,-10.41
4,5,CCCC(C(=O)N1N=C(c2ccc3c(O)cccc3c2)CC1c1ccccc1F)N1CCN(c2cc(O)c(O)cc2C)CC1,0.660163,-10.4
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1C(CC)c1cc(F)c(F)c2ccccc12,0.564847,-10.4
9,7,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C(C)F)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.62751,-10.4
4,9,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3cc4cc(O)cc(O)c4cc3F)C(F)C2c2cccc(F)c2F)CC1,0.938414,-10.4
9,4,Cc1nn(Cc2cc(F)cc3c(O)cccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.955337,-10.39
9,10,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2ccc(CF)cc12,0.550872,-10.39
4,8,Cc1cc(O)c(O)cc1N1CCN(C(C[SeH])C(=O)N2N=C(c3ccc4c(O)cc(O)cc4c3)C(F)C2c2cccc(F)c2F)CC1,0.556901,-10.38
9,5,Cc1nn(C(C=O)c2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.57861,-10.38
9,10,CCc1c(C2(OC)NC(=O)c3cc(N)c(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2ccccc12,0.739941,-10.37
5,8,CCC1Cc2ccc(F)cc2C2(C1)C(=O)N(C(CC)c1cc(C)c3c(c1)OCC(O)CO3)C(=O)N2C(C)C,0.574259,-10.37
9,5,Cc1nn(Cc2c(O)c(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.815889,-10.37
9,4,Cc1nn(C(C)c2cc(F)cc3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.902964,-10.36
4,2,Cc1ccccc1N1CCN(CC(=O)N2N=C(c3cc(O)c4c(O)cccc4c3)CC2c2ccccc2)CC1,0.960918,-10.36
9,4,Cc1nn(Cc2cc(F)cc3cc(F)ccc23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.620306,-10.36
10,3,Cc1c(CO)[nH]c2ccc(C(=O)N3C4CCC3CC(O)(Cc3cc(F)c(F)c(F)c3F)C4)cc12,0.6872,-10.35
4,3,Cc1ccc(O)cc1N1CCN(C(C)C(=O)N2N=C(c3ccc4c(O)cccc4c3)CC2c2ccccc2)CC1,0.947187,-10.35
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1c(O)c(F)c(F)c2ccccc12,0.644489,-10.34
6,1,O=C(CN1c2ccc(F)c3cccc(c23)S1(=O)=O)Nc1ccc(C(F)(F)F)cc1,0.625319,-10.34
9,6,Cc1nn(Cc2cc(F)c(F)c3cc(F)ccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.604598,-10.31
9,6,CCc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.891255,-10.3
4,2,CCC1CN(c2ccccc2C)CCN1CC(=O)N1N=C(c2ccc3c(O)cccc3c2)CC1c1ccccc1,0.610937,-10.3
9,8,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CCF)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1F,0.969788,-10.3
3,1,O=C(c1cccc(C(F)(F)F)c1)N1CCC(N2c3ccc(F)cc3CC2F)CC1,0.822004,-10.29
